# UV SPECTRUM
# Generated with DeVoe.py
# Lineshape : lor
# cm-1     epsilon
  16000.00 1.043941e+05
  16100.00 1.073117e+05
  16200.00 1.103525e+05
  16300.00 1.135231e+05
  16400.00 1.168310e+05
  16500.00 1.202841e+05
  16600.00 1.238907e+05
  16700.00 1.276601e+05
  16800.00 1.316021e+05
  16900.00 1.357271e+05
  17000.00 1.400467e+05
  17100.00 1.445729e+05
  17200.00 1.493191e+05
  17300.00 1.542995e+05
  17400.00 1.595294e+05
  17500.00 1.650257e+05
  17600.00 1.708063e+05
  17700.00 1.768909e+05
  17800.00 1.833008e+05
  17900.00 1.900591e+05
  18000.00 1.971910e+05
  18100.00 2.047241e+05
  18200.00 2.126883e+05
  18300.00 2.211164e+05
  18400.00 2.300443e+05
  18500.00 2.395113e+05
  18600.00 2.495607e+05
  18700.00 2.602397e+05
  18800.00 2.716007e+05
  18900.00 2.837011e+05
  19000.00 2.966046e+05
  19100.00 3.103814e+05
  19200.00 3.251093e+05
  19300.00 3.408746e+05
  19400.00 3.577732e+05
  19500.00 3.759117e+05
  19600.00 3.954091e+05
  19700.00 4.163979e+05
  19800.00 4.390264e+05
  19900.00 4.634605e+05
  20000.00 4.898863e+05
  20100.00 5.185124e+05
  20200.00 5.495732e+05
  20300.00 5.833322e+05
  20400.00 6.200860e+05
  20500.00 6.601683e+05
  20600.00 7.039544e+05
  20700.00 7.518665e+05
  20800.00 8.043788e+05
  20900.00 8.620223e+05
  21000.00 9.253898e+05
  21100.00 9.951397e+05
  21200.00 1.071998e+06
  21300.00 1.156756e+06
  21400.00 1.250263e+06
  21500.00 1.353415e+06
  21600.00 1.467121e+06
  21700.00 1.592261e+06
  21800.00 1.729613e+06
  21900.00 1.879750e+06
  22000.00 2.042889e+06
  22100.00 2.218695e+06
  22200.00 2.406025e+06
  22300.00 2.602631e+06
  22400.00 2.804850e+06
  22500.00 3.007345e+06
  22600.00 3.202988e+06
  22700.00 3.383031e+06
  22800.00 3.537662e+06
  22900.00 3.657010e+06
  23000.00 3.732493e+06
  23100.00 3.758231e+06
  23200.00 3.732137e+06
  23300.00 3.656325e+06
  23400.00 3.536698e+06
  23500.00 3.381853e+06
  23600.00 3.201664e+06
  23700.00 3.005939e+06
  23800.00 2.803418e+06
  23900.00 2.601216e+06
  24000.00 2.404660e+06
  24100.00 2.217401e+06
  24200.00 2.041678e+06
  24300.00 1.878628e+06
  24400.00 1.728581e+06
  24500.00 1.591317e+06
  24600.00 1.466260e+06
  24700.00 1.352632e+06
  24800.00 1.249552e+06
  24900.00 1.156109e+06
  25000.00 1.071411e+06
  25100.00 9.946061e+05
  25200.00 9.249044e+05
  25300.00 8.615804e+05
  25400.00 8.039759e+05
  25500.00 7.514987e+05
  25600.00 7.036180e+05
  25700.00 6.598601e+05
  25800.00 6.198033e+05
  25900.00 5.830724e+05
  26000.00 5.493340e+05
  26100.00 5.182919e+05
  26200.00 4.896827e+05
  26300.00 4.632722e+05
  26400.00 4.388518e+05
  26500.00 4.162359e+05
  26600.00 3.952585e+05
  26700.00 3.757716e+05
  26800.00 3.576426e+05
  26900.00 3.407527e+05
  27000.00 3.249953e+05
  27100.00 3.102747e+05
  27200.00 2.965046e+05
  27300.00 2.836072e+05
  27400.00 2.715124e+05
  27500.00 2.601567e+05
  27600.00 2.494825e+05
  27700.00 2.394376e+05
  27800.00 2.299747e+05
  27900.00 2.210506e+05
  28000.00 2.126260e+05
  28100.00 2.046651e+05
  28200.00 1.971351e+05
  28300.00 1.900060e+05
  28400.00 1.832503e+05
  28500.00 1.768429e+05
  28600.00 1.707606e+05
  28700.00 1.649822e+05
  28800.00 1.594879e+05
  28900.00 1.542599e+05
  29000.00 1.492813e+05
  29100.00 1.445367e+05
  29200.00 1.400120e+05
  29300.00 1.356939e+05
  29400.00 1.315702e+05
  29500.00 1.276295e+05
  29600.00 1.238613e+05
  29700.00 1.202557e+05
  29800.00 1.168037e+05
  29900.00 1.134967e+05
  30000.00 1.103268e+05
  30100.00 1.072866e+05
  30200.00 1.043692e+05
  30300.00 1.015681e+05
  30400.00 9.887735e+04
  30500.00 9.629117e+04
  30600.00 9.380430e+04
  30700.00 9.141176e+04
  30800.00 8.910888e+04
  30900.00 8.689127e+04
  31000.00 8.475480e+04
  31100.00 8.269559e+04
  31200.00 8.070999e+04
  31300.00 7.879456e+04
  31400.00 7.694604e+04
  31500.00 7.516139e+04
  31600.00 7.343771e+04
  31700.00 7.177228e+04
  31800.00 7.016251e+04
  31900.00 6.860597e+04
  32000.00 6.710036e+04
  32100.00 6.564347e+04
  32200.00 6.423326e+04
  32300.00 6.286776e+04
  32400.00 6.154510e+04
  32500.00 6.026352e+04
  32600.00 5.902136e+04
  32700.00 5.781701e+04
  32800.00 5.664897e+04
  32900.00 5.551579e+04
  33000.00 5.441612e+04
  33100.00 5.334864e+04
  33200.00 5.231213e+04
  33300.00 5.130539e+04
  33400.00 5.032732e+04
  33500.00 4.937682e+04
  33600.00 4.845288e+04
  33700.00 4.755453e+04
  33800.00 4.668082e+04
  33900.00 4.583088e+04
  34000.00 4.500385e+04
  34100.00 4.419892e+04
  34200.00 4.341531e+04
  34300.00 4.265227e+04
  34400.00 4.190910e+04
  34500.00 4.118512e+04
  34600.00 4.047966e+04
  34700.00 3.979211e+04
  34800.00 3.912187e+04
  34900.00 3.846835e+04
  35000.00 3.783100e+04
