# UV SPECTRUM
# Generated with DeVoe.py
# Lineshape : lor
# cm-1     epsilon
  16000.00 1.159757e+04
  16100.00 1.192177e+04
  16200.00 1.225962e+04
  16300.00 1.261187e+04
  16400.00 1.297937e+04
  16500.00 1.336298e+04
  16600.00 1.376366e+04
  16700.00 1.418241e+04
  16800.00 1.462033e+04
  16900.00 1.507859e+04
  17000.00 1.555845e+04
  17100.00 1.606128e+04
  17200.00 1.658853e+04
  17300.00 1.714180e+04
  17400.00 1.772279e+04
  17500.00 1.833336e+04
  17600.00 1.897552e+04
  17700.00 1.965144e+04
  17800.00 2.036350e+04
  17900.00 2.111426e+04
  18000.00 2.190653e+04
  18100.00 2.274335e+04
  18200.00 2.362806e+04
  18300.00 2.456430e+04
  18400.00 2.555606e+04
  18500.00 2.660771e+04
  18600.00 2.772403e+04
  18700.00 2.891030e+04
  18800.00 3.017231e+04
  18900.00 3.151647e+04
  19000.00 3.294982e+04
  19100.00 3.448017e+04
  19200.00 3.611617e+04
  19300.00 3.786739e+04
  19400.00 3.974449e+04
  19500.00 4.175932e+04
  19600.00 4.392507e+04
  19700.00 4.625648e+04
  19800.00 4.877001e+04
  19900.00 5.148409e+04
  20000.00 5.441938e+04
  20100.00 5.759906e+04
  20200.00 6.104916e+04
  20300.00 6.479894e+04
  20400.00 6.888135e+04
  20500.00 7.333344e+04
  20600.00 7.819690e+04
  20700.00 8.351864e+04
  20800.00 8.935129e+04
  20900.00 9.575385e+04
  21000.00 1.027922e+05
  21100.00 1.105394e+05
  21200.00 1.190761e+05
  21300.00 1.284902e+05
  21400.00 1.388763e+05
  21500.00 1.503335e+05
  21600.00 1.629632e+05
  21700.00 1.768630e+05
  21800.00 1.921195e+05
  21900.00 2.087966e+05
  22000.00 2.269186e+05
  22100.00 2.464484e+05
  22200.00 2.672596e+05
  22300.00 2.891030e+05
  22400.00 3.115721e+05
  22500.00 3.340745e+05
  22600.00 3.558190e+05
  22700.00 3.758339e+05
  22800.00 3.930289e+05
  22900.00 4.063069e+05
  23000.00 4.147132e+05
  23100.00 4.175932e+05
  23200.00 4.147132e+05
  23300.00 4.063069e+05
  23400.00 3.930289e+05
  23500.00 3.758339e+05
  23600.00 3.558190e+05
  23700.00 3.340745e+05
  23800.00 3.115721e+05
  23900.00 2.891030e+05
  24000.00 2.672596e+05
  24100.00 2.464484e+05
  24200.00 2.269186e+05
  24300.00 2.087966e+05
  24400.00 1.921195e+05
  24500.00 1.768630e+05
  24600.00 1.629632e+05
  24700.00 1.503335e+05
  24800.00 1.388763e+05
  24900.00 1.284902e+05
  25000.00 1.190761e+05
  25100.00 1.105394e+05
  25200.00 1.027922e+05
  25300.00 9.575385e+04
  25400.00 8.935129e+04
  25500.00 8.351864e+04
  25600.00 7.819690e+04
  25700.00 7.333344e+04
  25800.00 6.888135e+04
  25900.00 6.479894e+04
  26000.00 6.104916e+04
  26100.00 5.759906e+04
  26200.00 5.441938e+04
  26300.00 5.148409e+04
  26400.00 4.877001e+04
  26500.00 4.625648e+04
  26600.00 4.392507e+04
  26700.00 4.175932e+04
  26800.00 3.974449e+04
  26900.00 3.786739e+04
  27000.00 3.611617e+04
  27100.00 3.448017e+04
  27200.00 3.294982e+04
  27300.00 3.151647e+04
  27400.00 3.017231e+04
  27500.00 2.891030e+04
  27600.00 2.772403e+04
  27700.00 2.660771e+04
  27800.00 2.555606e+04
  27900.00 2.456430e+04
  28000.00 2.362806e+04
  28100.00 2.274335e+04
  28200.00 2.190653e+04
  28300.00 2.111426e+04
  28400.00 2.036350e+04
  28500.00 1.965144e+04
  28600.00 1.897552e+04
  28700.00 1.833336e+04
  28800.00 1.772279e+04
  28900.00 1.714180e+04
  29000.00 1.658853e+04
  29100.00 1.606128e+04
  29200.00 1.555845e+04
  29300.00 1.507859e+04
  29400.00 1.462033e+04
  29500.00 1.418241e+04
  29600.00 1.376366e+04
  29700.00 1.336298e+04
  29800.00 1.297937e+04
  29900.00 1.261187e+04
  30000.00 1.225962e+04
  30100.00 1.192177e+04
  30200.00 1.159757e+04
  30300.00 1.128630e+04
  30400.00 1.098729e+04
  30500.00 1.069990e+04
  30600.00 1.042354e+04
  30700.00 1.015767e+04
  30800.00 9.901765e+03
  30900.00 9.655334e+03
  31000.00 9.417920e+03
  31100.00 9.189092e+03
  31200.00 8.968444e+03
  31300.00 8.755594e+03
  31400.00 8.550180e+03
  31500.00 8.351864e+03
  31600.00 8.160323e+03
  31700.00 7.975254e+03
  31800.00 7.796372e+03
  31900.00 7.623405e+03
  32000.00 7.456097e+03
  32100.00 7.294204e+03
  32200.00 7.137498e+03
  32300.00 6.985760e+03
  32400.00 6.838783e+03
  32500.00 6.696372e+03
  32600.00 6.558340e+03
  32700.00 6.424511e+03
  32800.00 6.294716e+03
  32900.00 6.168795e+03
  33000.00 6.046598e+03
  33100.00 5.927979e+03
  33200.00 5.812800e+03
  33300.00 5.700931e+03
  33400.00 5.592246e+03
  33500.00 5.486626e+03
  33600.00 5.383957e+03
  33700.00 5.284132e+03
  33800.00 5.187045e+03
  33900.00 5.092600e+03
  34000.00 5.000700e+03
  34100.00 4.911256e+03
  34200.00 4.824181e+03
  34300.00 4.739393e+03
  34400.00 4.656812e+03
  34500.00 4.576364e+03
  34600.00 4.497974e+03
  34700.00 4.421575e+03
  34800.00 4.347099e+03
  34900.00 4.274482e+03
  35000.00 4.203664e+03
